0.186,0.205,9.804
0.227,0.225,9.852
0.253,0.227,9.873
0.301,0.227,9.888
0.342,0.215,9.895
0.347,0.222,9.893
0.366,0.213,9.914
0.402,0.201,9.936
0.397,0.201,9.943
0.399,0.201,9.924
0.395,0.189,9.924
0.373,0.172,9.919
0.359,0.174,9.909
0.296,0.148,9.893
0.229,0.114,9.888
0.208,0.119,9.888
0.112,0.129,9.888
0.064,0.122,9.888
0.028,0.119,9.885
-0.014,0.117,9.888
-0.055,0.129,9.883
-0.074,0.107,9.873
-0.098,0.11,9.847
-0.098,0.11,9.847
-0.102,0.117,9.838
-0.107,0.095,9.821
-0.134,0.086,9.816
-0.146,0.081,9.823
-0.138,0.081,9.797
-0.146,0.069,9.799
-0.141,0.052,9.794
-0.117,0.071,9.756
-0.079,0.11,9.739
-0.059,0.119,9.742
-0.033,0.136,9.723
0.052,0.15,9.696
0.071,0.196,9.699
0.148,0.208,9.701
0.229,0.21,9.67
0.304,0.234,9.672
0.332,0.241,9.668
0.383,0.244,9.653
0.433,0.256,9.636
0.423,0.268,9.634
0.462,0.277,9.61
0.486,0.275,9.596
0.483,0.272,9.586
0.495,0.272,9.589
0.502,0.27,9.577
0.512,0.272,9.565
0.5,0.27,9.529
0.495,0.292,9.507
0.481,0.284,9.514
0.481,0.284,9.514
0.438,0.28,9.517
0.442,0.272,9.498
0.421,0.272,9.502
0.407,0.246,9.498
0.395,0.244,9.512
0.383,0.237,9.555
0.363,0.191,9.569
0.351,0.203,9.617
0.344,0.193,9.617
0.344,0.162,9.675
0.347,0.165,9.735
0.347,0.148,9.739
0.335,0.162,9.773
0.342,0.172,9.833
0.339,0.179,9.852
0.349,0.184,9.888
0.366,0.172,9.897
0.363,0.174,9.907
0.399,0.174,9.936
0.416,0.15,9.943
0.43,0.155,9.969
0.433,0.148,9.988
0.43,0.167,10.012
0.43,0.16,10.029
0.418,0.153,10.051
0.435,0.165,10.077
0.416,0.162,10.087
0.421,0.172,10.087
0.462,0.167,10.127
0.466,0.177,10.134
0.478,0.193,10.137
0.469,0.21,10.149
0.474,0.201,10.132
0.476,0.196,10.118
0.462,0.196,10.094
0.454,0.193,10.039
0.447,0.198,10.034
0.44,0.191,9.976
0.416,0.174,9.926
0.399,0.196,9.909
0.395,0.203,9.897
0.378,0.186,9.888
0.38,0.165,9.888
0.361,0.138,9.888
0.361,0.129,9.878
0.349,0.129,9.866
0.363,0.158,9.876
0.375,0.138,9.876
0.39,0.165,9.881
0.411,0.167,9.888
0.428,0.174,9.888
0.45,0.184,9.881
0.471,0.193,9.888
0.483,0.208,9.888
0.49,0.225,9.888
0.5,0.225,9.888
0.509,0.217,9.888
0.541,0.232,9.885
0.6,0.227,9.888
0.6,0.227,9.888
0.624,0.217,9.888
0.648,0.215,9.885
0.658,0.222,9.881
0.689,0.232,9.883
0.713,0.229,9.883
0.758,0.246,9.885
0.763,0.251,9.888
0.773,0.256,9.888
0.806,0.268,9.909
0.804,0.299,9.941
0.814,0.308,9.972
0.842,0.308,10.079
0.864,0.299,10.18
0.881,0.306,10.223
0.94,0.316,10.336
0.976,0.316,10.434
1.031,0.323,10.484
1.055,0.32,10.565
1.082,0.368,10.661
1.103,0.38,10.731
1.103,0.392,10.75
1.087,0.397,10.807
1.065,0.395,10.862
1.048,0.378,10.848
1.003,0.385,10.846
0.998,0.395,10.838
0.998,0.399,10.843
0.969,0.414,10.812
0.924,0.418,10.75
0.921,0.426,10.735
0.914,0.416,10.709
0.897,0.426,10.661
0.883,0.423,10.635
0.842,0.43,10.573
0.826,0.442,10.513
0.804,0.421,10.467
0.763,0.428,10.403
0.735,0.44,10.326
0.73,0.435,10.23
0.742,0.438,10.194
0.749,0.411,10.108
0.818,0.404,10.051
0.842,0.402,10.029
0.9,0.411,10
0.95,0.445,9.96
0.969,0.447,9.907
0.969,0.469,9.888
1.003,0.471,9.873
0.986,0.471,9.833
1.007,0.488,9.814
1.029,0.45,9.802
1.048,0.44,9.797
1.065,0.435,9.799
1.118,0.438,9.797
1.151,0.466,9.802
1.201,0.488,9.828
1.235,0.548,9.847
1.256,0.555,9.864
1.312,0.627,9.936
1.312,0.627,9.936
1.343,0.665,9.996
1.352,0.675,10.087
1.367,0.703,10.168
1.357,0.735,10.213
1.34,0.723,10.288
1.35,0.727,10.352
1.338,0.73,10.403
1.312,0.732,10.429
1.302,0.742,10.455
1.324,0.766,10.467
1.331,0.778,10.472
1.326,0.756,10.474
1.307,0.747,10.462
1.29,0.735,10.446
1.283,0.715,10.417
1.256,0.725,10.367
1.24,0.735,10.336
1.209,0.756,10.307
1.137,0.768,10.249
1.106,0.754,10.228
1.027,0.758,10.197
0.94,0.735,10.134
0.94,0.723,10.118
0.881,0.694,10.099
0.864,0.646,10.051
0.859,0.605,10.029
0.871,0.603,10.005
0.907,0.584,9.95
0.981,0.577,9.89
1.003,0.577,9.888
1.024,0.581,9.885
