0.225,-1.264,9.888
0.258,-1.307,9.883
0.28,-1.34,9.797
0.299,-1.376,9.744
0.301,-1.395,9.701
0.289,-1.4,9.67
0.22,-1.419,9.555
0.22,-1.419,9.555
0.222,-1.415,9.526
0.193,-1.458,9.493
0.191,-1.479,9.45
0.179,-1.508,9.435
0.174,-1.541,9.428
0.167,-1.589,9.409
0.172,-1.601,9.392
0.16,-1.608,9.385
0.158,-1.613,9.375
0.174,-1.62,9.366
0.184,-1.652,9.371
0.205,-1.654,9.368
0.217,-1.652,9.354
0.213,-1.635,9.397
